,Unnamed: 0,url,Index,2023-02-20 Selenium,2023-01-30 Selenium,2023-01-05 Selenium,2023-01-17 Selenium,2023-02-10 Selenium,2023-02-07 Selenium,2023-01-13 Selenium
248,248,https://dailycaller.com/,148,CA: Do Not Sell My Info,CA: Do Not Sell My Info,yes,CA: Do Not Sell My Info,CA: Do Not Sell My Info,Do Not Sell or Share My Personal Information,CA: Do Not Sell My Info
249,249,https://nypost.com/,149,,,yes,,,,
250,250,https://www.rakuten.com/,299,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,yes,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,,Do Not Sell or Share My Personal Information / Personal Data Opt-out
251,251,https://www.zulily.com/,300,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,CCPA / Do Not Sell My Info,Do Not Sell or Share My Personal Information
252,252,https://thekrazycouponlady.com/,301,Do not sell my personal information.,Do not sell my personal information.,yes,Do not sell my personal information.,Do not sell my personal information.,,Do not sell my personal information.
253,253,https://getitfree.us/,302,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,yes,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION,,CA Consumers: DO NOT SELL OR SHARE MY PERSONAL INFORMATION
255,255,https://www.dealnews.com/,304,Do not sell my data,,no,,,Do Not Sell or Share My Personal Information,
256,256,https://www.woot.com/,305,,,no,,,Do Not Sell My Personal Information,
257,257,https://www.grabon.in/,306,,,no,,,Do Not Sell My Personal Information,
258,258,https://www.goodrx.com/,307,,,no,,,Do Not Sell My Personal Information,
259,259,https://www.hotukdeals.com/,308,,,no,,,,
260,260,https://www.tada.com/,309,,,yes,,,DO NOT SELL OR SHARE MY PERSONAL INFORMATION,
261,261,https://www.livingsocial.com/,310,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,yes,Do Not Sell or Share My Personal Information,Do Not Sell or Share My Personal Information,,Do Not Sell or Share My Personal Information
262,262,https://slickdeals.net/,311,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,,Do Not Sell My Personal Information
263,263,https://www.bizrate.com/,312,Ad Opt out/ Do Not Sell My Personal Information,Ad Opt out/ Do Not Sell My Personal Information,yes,Ad Opt out/ Do Not Sell My Personal Information,Ad Opt out/ Do Not Sell My Personal Information,,Ad Opt out/ Do Not Sell My Personal Information
264,264,https://www.woot.com/,313,,,no,,,,
265,265,https://www.mysmartprice.com/,314,,,no,,,,
266,266,https://www.tada.com/,315,,,yes,,,,
267,267,https://www.rakuten.com/,316,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,yes,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell or Share My Personal Information / Personal Data Opt-out,Do Not Sell My Personal Information,Do Not Sell or Share My Personal Information / Personal Data Opt-out
268,268,https://www.smartprix.com/,317,,,no,,,,
269,269,https://shoplocal.com/?postalcode=60670,318,,,yes,,,,
270,270,https://www.mysimon.com/,319,Do Not Sell My Personal Information,Do Not Sell My Personal Information,yes,Do Not Sell My Personal Information,Do Not Sell My Personal Information,,Do Not Sell My Personal Information
271,271,https://www.bookfinder.com/,320,,,no,,,,
272,272,https://www.shop.com/,321,Do Not Sell My Information,Do Not Sell My Information,yes,Do Not Sell My Information,Do Not Sell My Information,Do Not Sell My Personal Information,Do Not Sell My Information
273,273,https://www.nextag.com/,322,,,no,,,Do Not Sell or Share My Personal Information,
